state,code,name,zone,address,geometry_type,coordinates
,MGK,MULANGUNNATHUKAVU,,,Point,"[76.207809, 10.596938999999999]"
Delhi NCT,CNKP,CHANAKYAPURI,NR,"Chanakyapuri, Delhi NCT",Point,"[77.172004, 28.591905]"
,URN,UTRAN,,,Point,"[72.85479600000001, 21.232602]"
,ST,SURAT,,,Point,"[72.840793, 21.206568]"
,UDN,UDHNA JN,,,Point,"[72.851461, 21.171156]"
,VRU,VALIVERU,,,Point,"[80.605456, 16.188934]"
,MRPL,MARAMPALLI,,,Point,"[81.63387399999999, 16.843925]"
,NDD,NIDADAVOLU JN,,,Point,"[81.67550399999999, 16.898297]"
,GDM,GUDMA,,,Point,"[80.287678, 21.416128]"
,BEF,BHUPDEOPUR,,,Point,"[83.25998102000001, 21.975035039999998]"
,RIG,RAIGARH,,,Point,"[83.39067, 21.891288999999997]"
,KRL,KOTARLIA,,,Point,"[83.482238, 21.883182]"
Tamil Nadu,CTND,Chettinad,SR,"Kanadukathan, Tamil Nadu",Point,"[78.775924, 10.160613]"
Uttar Pradesh,SEPR,SHERPUR,NR,"State Highway 51, Uttar Pradesh",Point,"[78.25287, 28.919358]"
Gujarat,NVS,NAVSARI,WR,"Navsari, Gujarat",Point,"[72.914294, 20.946851]"
Punjab,JBD,Jalalabad,NR,"Jalalabad, Punjab",Point,"[74.268446, 30.60775]"
West Bengal,DDM,DAM DIM,NFR,"National Highway 31, West Bengal",Point,"[88.67133299999999, 26.859243000000003]"
Gujarat,COE,CHITROD,WR,"Kutch, Gujarat",Point,"[70.655356, 23.417869]"
Rajasthan,COM,Chomun Samod,NWR,"Chomun, Rajasthan",Point,"[75.70272, 27.158223]"
Haryana,DKT,DHULKOT,NR,"Ambala City, Haryana",Point,"[76.78753499999999, 30.395686]"
,KUW,KANWAR,,,Point,"[81.21464405030001, 25.7036520692]"
,CDMR,CHANDAULI MJHWR,,,Point,"[83.267724, 25.261093]"
,IGPX,IGPX,,,,
,KGA,KHAGA,,,Point,"[81.102658, 25.761853]"
,KTCE,KATOGHAN,,,Point,"[81.16560600000001, 25.730035]"
,ASCE,ATHSARAI,,,Point,"[81.2620300824, 25.678728805000002]"
Karnataka,CRLM,Carmelaram,SWR,"Bengaluru, Karnataka",Point,"[77.706014, 12.907633]"
Goa,CNR,CHANDAR,SWR,"CHANRA (chandor), Goa",Point,"[74.047794, 15.264834]"
Andhra Pradesh,CMDP,Chimidipalli,ECoR,"Borra, Andhra Pradesh",Point,"[83.07686199999999, 18.262764]"
,BDL,VINDHYACHAL,,,Point,"[82.5020212, 25.160771699999998]"
,TSA,TISUA,,,Point,"[79.58628900000001, 28.136577]"
Gujarat,TAS,Thasra,WR,"National Highway 59, Gujarat",Point,"[73.221682, 22.797769]"
,GHT,GHAGHARA GHAT,,,Point,"[81.5033135022, 27.1026834977]"
,BV,BABHNAN,,,Point,"[82.500127, 26.938525000000002]"
Uttar Pradesh,CLW,Chilwariya,NER,"Bahraich, Uttar Pradesh",Point,"[81.69873199999999, 27.487001000000003]"
,OKAC,OKAC,,,,
,GAUR,GAUR,,,Point,"[82.56115799999999, 26.913411]"
,TH,TINICH,,,Point,"[82.639707, 26.882281000000003]"
,BHTR,BHATPAR RANI,,,Point,"[84.03310139999999, 26.3104766]"
,TUR,TURKI,,,Point,"[85.354709, 26.034431]"
,RD,RAM DAYALU NAGAR,,,Point,"[85.38359600000001, 26.097367]"
,BTO,BHITAURA,,,Point,"[79.306506, 28.469954]"
,PKRA,PARSA KHERA,,,Point,"[79.34185199999999, 28.433371]"
,CHTI,CHANETI,,,Point,"[79.42916573, 28.3087958495]"
,BLPU,BILPUR,,,Point,"[79.62578099999999, 28.083668]"
,MK,MIRANPUR KATRA,,,Point,"[79.674809, 28.03708]"
,MILA,MILAKPUR HALT,,,Point,"[79.71796182739999, 27.988261374]"
,TLH,TILHAR,,,Point,"[79.741776, 27.972984]"
Kerala,CQL,CHIRAKKAL,SR,"Kannur district, Kerala",Point,"[75.353696, 11.911049]"
,PNQ,PUNKUNNAM,,,Point,"[76.20943, 10.535053999999999]"
,TCR,THRISUR,,,Point,"[76.207919, 10.514790000000001]"
Karnataka,CMNR,CHAMARAJANAGAR,SWR,"Chamarajnagar, Karnataka",Point,"[76.932807, 11.934891]"
Karnataka,CMJ,CHAMARAJAPURAM,SWR,"Mysore, Karnataka",Point,"[76.637861, 12.29844]"
,BKA,BARKHERA,,,Point,"[77.649646, 22.917359]"
,ODG,OBAIDULLA GANJ,,,Point,"[77.587299, 22.994912]"
