State,District,avg_RAS,station_count,avg_supply_index,avg_demand_index,total_schedule_rows,avg_route_connectivity
Madhya Pradesh,Mandla,0.22106338049637128,12,0.01719201971668564,0.04312555654188824,84,1.8333333333333333
Madhya Pradesh,Mandsaur,0.5503921164559297,13,0.14197811239611885,0.06936276817013157,714,0.0
Madhya Pradesh,Morena,0.25098865913047574,23,0.1161532122510499,0.1528839698623986,1040,0.2608695652173913
Madhya Pradesh,Narsimhapur,0.8665516019077244,11,0.28962724782660476,0.04460241280639932,1221,0.0
Madhya Pradesh,Neemuch,0.3602256752563898,5,0.03317548475104746,0.03637666711919746,68,0.0
Madhya Pradesh,Panna,0.7477132515575137,1,0.1026860242294326,0.034647404080864024,40,0.0
Madhya Pradesh,Raisen,0.8520807501015432,8,0.390338540820856,0.039969739412541186,1194,0.0
Madhya Pradesh,Rajgarh,0.5055473878904205,8,0.049039159007004667,0.042240571127119125,157,0.0
Madhya Pradesh,Ratlam,0.4386874820649158,20,0.13154612936220164,0.09533495535679659,1012,1.25
Madhya Pradesh,Rewa,0.7345605318710787,3,0.20227026526669123,0.04330026601224307,230,4.0
Madhya Pradesh,Sagar,0.5591430701079628,22,0.19370169601507473,0.1041838831112595,1635,0.8636363636363636
Madhya Pradesh,Satna,0.693092587214102,19,0.22523168648013972,0.055891482364535595,1642,0.42105263157894735
Madhya Pradesh,Sehore,0.695679950205097,7,0.17490476654463796,0.05958681643383109,472,0.0
Madhya Pradesh,Seoni,0.3131430069298098,9,0.027207408129165903,0.05907540590467448,102,0.0
Madhya Pradesh,Shahdol,0.5148697326691519,9,0.0563391231948851,0.03670981235003745,201,0.2222222222222222
Madhya Pradesh,Shajapur,0.6158073096832122,16,0.1154522733560671,0.06335358430433402,717,0.125
Madhya Pradesh,Sheopur,0.13124390525081459,9,0.008236905506843036,0.05443036817512063,36,0.4444444444444444
Madhya Pradesh,Shivpuri,0.3018538550979436,10,0.0684573494862884,0.061056035954368745,270,0.0
Madhya Pradesh,Sidhi,0.41551745335618545,4,0.017772581116632567,0.024955431433010898,31,0.0
Madhya Pradesh,Singrauli,0.4127414969193523,13,0.020861003015955153,0.0255519089156385,115,0.5384615384615384
Madhya Pradesh,Tikamgarh,0.6176892230660895,3,0.0552924745850791,0.034222563916998,66,0.0
Madhya Pradesh,Ujjain,0.45316240552011594,31,0.13589152703391913,0.11602697251993815,1622,1.0
Madhya Pradesh,Umaria,0.7772528602577846,11,0.08295729597374661,0.018236354017160936,357,0.18181818181818182
Madhya Pradesh,Vidisha,0.7580203011043126,13,0.39697161240569606,0.0834959854878232,1973,0.0
Madhya Pradesh,West Nimar,0.1733545128747599,4,0.023696774822176754,0.11299868484143472,40,0.0
Maharashtra,Ahmadnagar,0.623366639519631,23,0.15294633381553757,0.08439433710524247,1354,0.9130434782608695
Maharashtra,Akola,0.33791951336408116,17,0.13657030636277387,0.19882938784608878,893,1.1764705882352942
Maharashtra,Amravati,0.4337045831490958,15,0.15037939729131725,0.13488356680717828,859,2.933333333333333
Maharashtra,Aurangabad,0.33716679194557314,10,0.09851414927252714,0.18412342099529505,383,0.4
Maharashtra,Bhandara,0.42238208281995754,6,0.10996077626799898,0.07214167818905219,256,0.3333333333333333
Maharashtra,Bid,0.40199054636032233,4,0.05906613397596734,0.08745550315499809,92,1.5
Maharashtra,Buldana,0.65226360180701,9,0.21882947613565693,0.11374837678078384,757,0.0
Maharashtra,Chandrapur,0.5581414445604312,27,0.19515208420335228,0.09047971311125386,2023,0.6666666666666666
Maharashtra,Dhule,0.3353838291370659,12,0.07460572810317491,0.12152312503802108,350,0.5833333333333334
Maharashtra,Gondiya,0.6251123137361809,16,0.1478084293927337,0.056013094849316436,909,1.125
Maharashtra,Hingoli,0.3251913738521177,16,0.036532527850855825,0.06793534529226648,238,0.0
Maharashtra,Jalgaon,0.5954346536981112,39,0.30493133700254116,0.14330797941738033,4545,0.9487179487179487
Maharashtra,Jalna,0.5568399462993938,9,0.10795197418991631,0.08591338138907122,378,0.0
Maharashtra,Kolhapur,0.3800832002010338,7,0.08875952985106582,0.13270000181031028,232,5.428571428571429
Maharashtra,Latur,0.18100683280748703,16,0.03860231612025776,0.17177943534305903,250,0.125
